date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:04:25	31698/31698	---M--	200	added ('OK')	image/jpeg	etag:3007106975	http://img1.wsimg.com/isteam/stock/Wbq1olg/:/rs=w:365,h:365,cg:true,m/cr=w:365,h:365	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/stock/Wbq1olg/_/rs=w_365,h_365,cg_true,m/cr=w_365,h_365.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
21:04:25	16115/16115	---M--	200	added ('OK')	image/jpeg	etag:545480112	http://img1.wsimg.com/isteam/stock/9QwDxmB/:/rs=w:365,h:365,cg:true,m/cr=w:365,h:365	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/stock/9QwDxmB/_/rs=w_365,h_365,cg_true,m/cr=w_365,h_365.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
21:04:27	59974/59974	---M-Z	200	added ('OK')	application/javascript	etag:%22cc9615fcea702fb8f92a8d456b801d04%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/ed7e5df3f9155cad/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/ed7e5df3f9155cad/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
21:04:27	24785/24785	---M-Z	200	added ('OK')	application/javascript	etag:%2235880d88929c076adb7a2b5be463c3f5%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/4fcdc9a075ef53a9/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/4fcdc9a075ef53a9/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery)
21:04:31	34511/34511	---M--	200	added ('OK')	image/jpeg	etag:3302373260	http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220823-WA0005.jpg/:/cr=t:16.67%25,l:0%25,w:100%25,h:66.67%25/rs=w:365,h:486.6666666666667,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220823-WA0005.jpg/_/cr=t_16.67%,l_0%,w_100%,h_66.67%/rs=w_365,h_486.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/services)
21:04:33	24320/24320	---M--	200	added ('OK')	image/jpeg	etag:2382993121	http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220906-WA0004.jpg/:/cr=t:0%25,l:32.28%25,w:35.45%25,h:100%25/rs=w:365,h:486.6666666666667,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220906-WA0004.jpg/_/cr=t_0%,l_32.28%,w_35.45%,h_100%/rs=w_365,h_486.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/services)
21:04:37	59974/59974	---M-Z	200	added ('OK')	application/javascript	etag:%221a4f79c7517648adf7e9970976b07e25%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/73c434f5b2ef5c57/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/73c434f5b2ef5c57/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/services)
21:04:37	34446/34446	---M--	200	added ('OK')	image/jpeg	etag:190808104	http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-00c4e29.png/:/cr=t:18.49%25,l:0%25,w:100%25,h:63.02%25/rs=w:365,h:486.6666666666667,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-00c4e29.png/_/cr=t_18.49%,l_0%,w_100%,h_63.02%/rs=w_365,h_486.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/services)
21:04:37	23472/23472	---M-Z	200	added ('OK')	application/javascript	etag:%22559758b31edf527e8111e69549152a7a%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/ebcdc31d48684204/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/ebcdc31d48684204/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/services)
21:04:39	59974/59974	---M-Z	200	added ('OK')	application/javascript	etag:%228804d285a87057c6e60bd2b7b5450efe%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/991f62cc4fb733c8/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/991f62cc4fb733c8/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/contact-us)
21:04:39	23607/23607	---M-Z	200	added ('OK')	application/javascript	etag:%22c5d594f9fc83f348783e93d3dd7cfd9c%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/9ec4b7e080e65d19/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/9ec4b7e080e65d19/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/contact-us)
21:04:39	103/103	---M-Z	200	added ('OK')	text/plain	etag:%227f92add3bae1d01:0%22	http://img1.wsimg.com/robots.txt		(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:39	25551/25551	URF---	200	added ('OK%20(cached)')	image/jpeg		http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220902-WA0027.jpg/:/cr=t:0%25,l:2.73%25,w:94.53%25,h:100%25/rs=w:600,h:300,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/IMG-20220902-WA0027.jpg/_/cr=t_0%,l_2.73%,w_94.53%,h_100%/rs=w_600,h_300,cg_true.jpg	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:40	388062/388062	URF---	200	added ('OK%20(cached)')	image/png		http://img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-2ee848e.png/:/cr=t:0%25,l:2.73%25,w:94.53%25,h:100%25/rs=w:600,h:300,cg:true	/home/divyanshu/websites/construction1/img1.wsimg.com/isteam/ip/d1ecef53-3f08-4b20-a18f-95ffa81121ed/blob-2ee848e.png/_/cr=t_0%,l_2.73%,w_94.53%,h_100%/rs=w_600,h_300,cg_true.png	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:40	33055/33055	UR-MCZ	200	added ('OK')	application/javascript	etag:773fb8af5335025c7afcd190d762ff14	https://wwwranjeetsinghconstructioncon.godaddysites.com/sw.js	/home/divyanshu/websites/construction1/wwwranjeetsinghconstructioncon.godaddysites.com/sw.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:46	59974/59974	UR-M-Z	200	added ('OK')	application/javascript	etag:%22889fa9c42fc3cf4be4a4e8e72da5d3ca%22	http://img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/62f11abd461e25b2/script.js	/home/divyanshu/websites/construction1/img1.wsimg.com/blobby/go/d1ecef53-3f08-4b20-a18f-95ffa81121ed/gpub/62f11abd461e25b2/script.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:46	78157/-1	---M--	200	added ('OK')	text/html	etag:42016323685fb0ef380fa24dc7f357f4	https://wwwranjeetsinghconstructioncon.godaddysites.com/gallery	/home/divyanshu/websites/construction1/wwwranjeetsinghconstructioncon.godaddysites.com/gallery.html	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
21:04:47	328683/328683	UR-M-Z	200	added ('OK')	text/javascript	date:Wed,%2024%20Aug%202022%2004:56:30%20GMT	https://img1.wsimg.com/poly/v3/polyfill.min.js?rum=0&unknown=polyfill&flags=gated&features=Intl.~locale.en-IN	/home/divyanshu/websites/construction1/img1.wsimg.com/poly/v3/polyfill.min6ee5.js	(from https://wwwranjeetsinghconstructioncon.godaddysites.com/)
